workload	suite1	suite2	suite3	suite4	suite5	suite6
fotonik3d	1.0096	1.0108	1.0152	1.0148	1.0082	1.0005
mcf	1.0091	1.0251	1.0299	1.022	1.0102	1.0015
gcc	0.8268	0.9433	0.9539	1.0427	1.0442	1.0323
omnetpp	1.0496	1.0566	1.0718	1.0688	1.0529	1.0295
bwaves	0.9759	0.9868	1.0031	0.9974	0.9927	0.9913
roms	0.9769	0.9718	0.9781	0.9722	0.9677	1.0005
cactuBSSN	1.0223	1.0189	1.0131	1.0091	1.0107	1.0084
wrf	0.9424	0.9576	0.9924	1.0159	1.0273	1.0219
pop2	0.9616	0.9895	1.0097	1.019	1.0203	1.0149
xalancbmk	1.001	1.0024	1.0018	1.002	1.0018	1.001
0.0	0.0	0.0	0.0	0.0	0.0	0.0
add	0.8319	0.9379	0.9702	1.0013	1.0103	1.0067
copy	0.8024	0.9267	0.9586	0.991	1.0045	1.0044
scale	0.7966	0.922	0.9573	0.9928	1.0068	1.0052
triad	0.8504	0.9507	0.9795	1.0073	1.0122	1.0081
add_copy	0.8148	0.9303	0.9625	0.9965	1.0085	1.0047
add_scale	0.8119	0.9255	0.9604	0.9977	1.0093	1.006
add_triad	0.842	0.9451	0.9765	1.0071	1.0125	1.0077
scale_triad	0.816	0.9304	0.965	0.9993	1.0103	1.0069
0.0	0.0	0.0	0.0	0.0	0.0	0.0
SPEC	0.9757	0.9958	1.0065	1.0161	1.0133	1.0101
STREAM	0.8206	0.9335	0.9662	0.9991	1.0093	1.0062
